step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.529909,0.220884,405,1687,0.306695,2.50512,0
2500,-0.521391,0.197197,447,1849,0.766103,1.08177,162
5000,-0.517631,0.201474,461,1888,0.70582,1.08487,201
7500,-0.518514,0.197395,466,1909,0.594272,1.0738,222
10000,-0.516612,0.195293,469,1914,0.455063,1.05984,227
12500,-0.517662,0.194637,470,1921,0.555679,1.0708,234
15000,-0.516267,0.194322,474,1931,0.606085,1.07329,244
17500,-0.517537,0.192601,474,1937,0.706246,1.0773,250
20000,-0.51723,0.193034,477,1948,0.719233,1.07759,261
22500,-0.517983,0.19314,477,1952,0.691469,1.0772,265
25000,-0.516649,0.193001,479,1955,0.746614,1.07614,268
27500,-0.516537,0.193374,480,1960,0.729602,1.07355,273
30000,-0.516662,0.192918,480,1961,0.727552,1.07597,274
32500,-0.516262,0.192177,482,1967,0.761449,1.07537,280
35000,-0.516262,0.19234,482,1967,0.674146,1.07378,280
37500,-0.516243,0.193218,483,1971,0.631283,1.11749,284
40000,-0.51746,0.192135,483,1975,0.664952,1.09076,288
42500,-0.517677,0.192951,483,1978,0.725173,1.0839,291
45000,-0.518452,0.19374,483,1980,0.682526,1.08224,293
47500,-0.518284,0.192856,484,1983,0.675859,1.088,296
50000,-0.516851,0.194971,487,1989,0.720356,1.09385,302
52500,-0.517855,0.194857,487,1994,0.794783,1.08324,307
55000,-0.517198,0.193932,488,1997,0.806517,1.08956,310
57500,-0.517198,0.194789,488,1997,0.4844,1.08523,310
60000,-0.516497,0.194614,489,1998,0.629853,1.07976,311
62500,-0.51678,0.194294,489,1999,0.438032,1.07748,312
65000,-0.517158,0.195933,489,2001,0.741809,1.08682,314
67500,-0.517543,0.196406,490,2006,0.800987,1.08364,319
70000,-0.517805,0.195819,490,2007,0.795298,1.09964,320
72500,-0.517805,0.195496,490,2007,0.831482,1.09599,320
75000,-0.516213,0.194551,493,2012,0.719026,1.09436,325
77500,-0.516213,0.193725,493,2012,0.786459,1.09221,325
80000,-0.514821,0.192646,496,2018,0.769594,1.09564,331
82500,-0.513589,0.192588,498,2021,0.794839,1.07988,334
85000,-0.513589,0.191832,498,2021,0.77338,1.08171,334
87500,-0.513589,0.1918,498,2021,0.744446,1.08133,334
90000,-0.514027,0.192407,498,2022,0.588227,1.08062,335
92500,-0.514629,0.191886,498,2025,0.673914,1.08847,338
95000,-0.514712,0.192307,498,2026,0.67114,1.08434,339
97500,-0.514712,0.192928,498,2026,0.744773,1.08176,339
100000,-0.515224,0.193533,498,2029,0.68321,1.08346,342
