step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.0207659,0.477704,826,1687,0.306695,2.50512,0
2500,-0.027292,0.428845,901,1852,0.868208,1.08925,165
5000,-0.0265504,0.421145,915,1881,0.839137,1.09351,194
7500,-0.0267546,0.418759,923,1897,0.843003,1.09018,210
10000,-0.0254332,0.417998,928,1904,0.803073,1.08905,217
12500,-0.0246286,0.416643,930,1907,0.810531,1.10206,220
15000,-0.0248788,0.416655,933,1913,0.787347,1.09875,226
17500,-0.0262011,0.415982,933,1915,0.811557,1.08712,228
20000,-0.0250669,0.41669,935,1917,0.826662,1.0862,230
22500,-0.0251387,0.416656,936,1919,0.832985,1.08847,232
25000,-0.0266225,0.41607,938,1927,0.851486,1.08436,240
27500,-0.0276877,0.416046,939,1931,0.868034,1.08793,244
30000,-0.0270249,0.416545,940,1932,0.869056,1.09029,245
32500,-0.0261938,0.418044,943,1937,0.85294,1.09064,250
35000,-0.0258094,0.418128,946,1942,0.85889,1.09674,255
37500,-0.0276386,0.419668,948,1949,0.706567,1.10672,262
40000,-0.0283541,0.420438,950,1955,0.681135,1.09662,268
42500,-0.0260504,0.422085,959,1969,0.449801,1.10766,282
45000,-0.0260993,0.421822,961,1973,0.598932,1.10378,286
47500,-0.0240928,0.420827,968,1984,0.724705,1.09753,297
50000,-0.0237599,0.419725,970,1988,0.739182,1.09582,301
52500,-0.0241492,0.419033,971,1991,0.78121,1.11334,304
55000,-0.0253516,0.419042,972,1995,0.735994,1.11382,308
57500,-0.0259004,0.418164,972,1996,0.749091,1.11906,309
60000,-0.0253989,0.417381,973,1997,0.749245,1.11874,310
62500,-0.0243577,0.417594,976,2001,0.741928,1.12365,314
65000,-0.0240024,0.419463,977,2002,0.770928,1.15213,315
67500,-0.0240024,0.417465,977,2002,0.716247,1.11922,315
70000,-0.0234547,0.418266,979,2005,0.702514,1.11056,318
72500,-0.0232728,0.419562,980,2007,0.645348,1.1204,320
75000,-0.0229445,0.420185,981,2008,0.671712,1.11585,321
77500,-0.0238686,0.419365,981,2010,0.598744,1.10509,323
80000,-0.0234434,0.418755,982,2011,0.522809,1.12379,324
82500,-0.0249584,0.418503,982,2014,0.5402,1.12398,327
85000,-0.024983,0.417966,983,2016,0.609031,1.12375,329
87500,-0.02526,0.417626,983,2017,0.623002,1.11465,330
90000,-0.0250183,0.418205,984,2019,0.627906,1.12839,332
92500,-0.0245642,0.419525,985,2020,0.607511,1.11692,333
95000,-0.0245642,0.420919,985,2020,0.610882,1.11108,333
97500,-0.0245451,0.421092,986,2022,0.496914,1.10771,335
100000,-0.0240291,0.420584,987,2023,0.613365,1.10293,336
