step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.0207659,0.477704,826,1687,0.306695,2.50512,0
2500,-0.0227599,0.454914,901,1843,0.769077,1.08036,156
5000,-0.0222627,0.449926,915,1872,0.747099,1.08183,185
7500,-0.0217699,0.446015,925,1891,0.835315,1.08438,204
10000,-0.0191951,0.446427,933,1904,0.846339,1.08428,217
12500,-0.0204673,0.446017,936,1913,0.826415,1.08878,226
15000,-0.0184486,0.446018,943,1923,0.819212,1.09301,236
17500,-0.0168775,0.445029,946,1926,0.796097,1.09033,239
20000,-0.0173838,0.445681,946,1927,0.757225,1.09158,240
22500,-0.0174428,0.446529,949,1933,0.806163,1.08741,246
25000,-0.0178164,0.445308,951,1938,0.820921,1.08865,251
27500,-0.01747,0.444979,954,1943,0.794005,1.08146,256
30000,-0.01747,0.444471,954,1943,0.770769,1.07894,256
32500,-0.0197063,0.444546,955,1949,0.760962,1.08966,262
35000,-0.01761,0.442983,960,1955,0.520532,1.07674,268
37500,-0.0155801,0.442956,964,1959,0.40184,1.55621,272
40000,-0.0160447,0.442829,966,1963,0.0405998,1.08073,276
42500,-0.0140709,0.443608,972,1971,0.376749,2.44723,284
45000,-0.013475,0.444152,974,1974,0.239571,1.0847,287
47500,-0.013475,0.444309,974,1974,0.321544,1.08368,287
50000,-0.0130132,0.44343,975,1975,0.261974,1.07418,288
52500,-0.0143961,0.444338,976,1980,0.374972,1.07903,293
55000,-0.0136848,0.444483,978,1982,0.560002,1.08349,295
57500,-0.0136848,0.444092,978,1982,0.547388,1.08419,295
60000,-0.0131623,0.444545,979,1983,0.543671,1.07755,296
62500,-0.0127743,0.444783,980,1984,0.656185,1.07865,297
65000,-0.012899,0.443764,981,1986,0.460566,1.07804,299
67500,-0.0132117,0.444825,981,1987,0.42322,1.07188,300
70000,-0.01346,0.444252,982,1990,0.357505,1.08401,303
72500,-0.0123382,0.443651,984,1992,0.370829,1.08308,305
75000,-0.0129806,0.442443,984,1993,0.281544,1.08056,306
77500,-0.0119378,0.441162,986,1995,0.263383,1.07649,308
80000,-0.0124076,0.441602,987,1998,0.273011,1.07846,311
82500,-0.0117436,0.44184,988,1999,0.274571,1.0823,312
85000,-0.0121484,0.442781,988,2000,0.338355,1.08558,313
87500,-0.0121484,0.442734,988,2000,0.214021,1.0919,313
90000,-0.0122651,0.443188,989,2002,0.357418,1.09148,315
92500,-0.0120209,0.443677,991,2006,0.320743,1.0846,319
95000,-0.0115637,0.444662,992,2007,0.333807,1.07947,320
97500,-0.0138432,0.445044,992,2012,0.478778,1.0778,325
100000,-0.0132532,0.443802,993,2013,0.513714,1.07238,326
