step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0202303,0.503645,936,1831,0.858312,1.09163,145
5000,0.0237102,0.502258,953,1859,0.848481,1.07881,173
7500,0.0222401,0.500187,966,1886,0.843599,1.08823,200
10000,0.0204762,0.498693,971,1899,0.840558,1.08654,213
12500,0.0202817,0.498726,974,1905,0.788971,1.08434,219
15000,0.0189706,0.497866,977,1913,0.757365,1.07462,227
17500,0.017473,0.498322,981,1923,0.790321,1.07,237
20000,0.0156951,0.49676,983,1930,0.826856,1.07486,244
22500,0.0142177,0.494934,984,1935,0.844236,1.07533,249
25000,0.0152013,0.495452,986,1937,0.834223,1.07706,251
27500,0.0172258,0.495586,990,1941,0.343764,1.07024,255
30000,0.0161011,0.496384,991,1945,0.594808,1.06891,259
32500,0.014426,0.494739,993,1953,0.535539,1.06063,267
35000,0.0132606,0.493546,994,1957,0.509694,1.40451,271
37500,0.0143972,0.496281,998,1962,0.676707,1.16197,276
40000,0.014944,0.494503,1001,1967,0.674244,1.18701,281
42500,0.0158139,0.494288,1004,1971,0.672612,1.24602,285
45000,0.0184209,0.494958,1009,1976,0.670201,1.26066,290
47500,0.0178686,0.495993,1009,1977,0.647071,1.28354,291
50000,0.017937,0.495513,1010,1979,0.639931,1.29579,293
52500,0.0188402,0.494388,1012,1981,0.647448,1.2872,295
55000,0.0182913,0.494116,1012,1982,0.696549,1.25047,296
57500,0.0181811,0.491871,1014,1986,0.610057,1.33252,300
60000,0.0179091,0.491879,1016,1991,0.621159,1.32262,305
62500,0.0179406,0.493416,1017,1993,0.675833,1.27055,307
65000,0.018404,0.493773,1020,1998,0.647452,1.2736,312
67500,0.0188412,0.494142,1022,2001,0.66927,1.2672,315
70000,0.0192543,0.493851,1023,2002,0.647493,1.27419,316
72500,0.0188634,0.492525,1024,2005,0.634981,1.29704,319
75000,0.0182534,0.491175,1024,2006,0.670196,1.26407,320
77500,0.0181706,0.492358,1025,2008,0.705138,1.19886,322
80000,0.0186256,0.494136,1026,2009,0.717452,1.18107,323
82500,0.0190744,0.494396,1027,2010,0.73009,1.2127,324
85000,0.0190744,0.495009,1027,2010,0.701291,1.21586,324
87500,0.0190744,0.49532,1027,2010,0.716773,1.22691,324
90000,0.0190744,0.494389,1027,2010,0.720865,1.22641,324
92500,0.0190744,0.494871,1027,2010,0.707739,1.23521,324
95000,0.0190627,0.494065,1028,2012,0.678808,1.26397,326
97500,0.0190826,0.494175,1029,2014,0.682783,1.25559,328
100000,0.0190826,0.492764,1029,2014,0.611682,1.31408,328
