step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.511888,0.231011,417,1674,0.144996,2.64709,0
2500,-0.50681,0.213211,462,1827,0.882396,1.0928,153
5000,-0.503374,0.212351,471,1856,0.884865,1.09277,182
7500,-0.503506,0.212793,478,1880,0.820323,1.08913,206
10000,-0.501444,0.213606,486,1906,0.747775,1.08076,232
12500,-0.502835,0.213711,488,1923,0.808976,1.09034,249
15000,-0.501992,0.214728,492,1935,0.80383,1.09558,261
17500,-0.501903,0.2152,493,1939,0.837687,1.08998,265
20000,-0.502945,0.214579,493,1941,0.811867,1.08955,267
22500,-0.503701,0.215857,494,1947,0.625847,1.08919,273
25000,-0.503626,0.216262,495,1950,0.801165,1.08113,276
27500,-0.503823,0.216023,496,1956,0.804255,1.0919,282
30000,-0.50373,0.215486,497,1962,0.824788,1.08978,288
32500,-0.504226,0.215697,497,1964,0.825551,1.09374,290
35000,-0.501912,0.215261,500,1969,0.387814,1.08758,295
37500,-0.500425,0.215631,503,1978,0.300928,1.07871,304
40000,-0.498743,0.215766,507,1986,0.316307,1.07789,312
42500,-0.498073,0.216596,509,1991,0.373325,1.08129,317
45000,-0.497438,0.216364,511,1999,0.520531,1.08347,325
47500,-0.496953,0.216434,512,2001,0.552905,1.08531,327
50000,-0.497721,0.217096,512,2004,0.603228,1.07729,330
52500,-0.497975,0.216368,514,2011,0.623872,1.08136,337
55000,-0.498009,0.216252,517,2022,0.590179,1.08008,348
57500,-0.4944,0.214414,522,2028,0.590667,1.09591,354
60000,-0.49449,0.215506,523,2034,0.562011,1.09489,360
62500,-0.492116,0.216841,527,2039,0.548426,1.08612,365
65000,-0.491343,0.216565,529,2045,0.600907,1.07998,371
67500,-0.491845,0.214495,529,2048,0.633213,1.09729,374
70000,-0.489164,0.213569,533,2053,0.631316,1.09018,379
72500,-0.488839,0.213477,534,2056,0.577659,1.09303,382
75000,-0.486263,0.213862,538,2061,0.612645,1.09193,387
77500,-0.485074,0.212483,540,2064,0.617984,1.08597,390
80000,-0.485351,0.213568,540,2065,0.653295,1.08935,391
82500,-0.482941,0.213699,546,2075,0.620964,1.08805,401
85000,-0.481737,0.215904,549,2080,0.58633,1.08363,406
87500,-0.481371,0.216422,550,2082,0.596368,1.08451,408
90000,-0.481114,0.215743,551,2085,0.584496,1.09222,411
92500,-0.480025,0.214186,553,2088,0.57219,1.1006,414
95000,-0.479863,0.213971,554,2092,0.609567,1.09023,418
97500,-0.479418,0.213478,556,2096,0.512912,1.09382,422
100000,-0.479548,0.214714,556,2097,0.526257,1.09638,423
