step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.530426,0.218831,405,1687,0.306695,2.50512,0
2500,-0.522666,0.200777,446,1848,0.543243,1.07435,161
5000,-0.519403,0.203332,454,1871,0.588494,1.07874,184
7500,-0.518971,0.204792,459,1889,0.685237,1.07895,202
10000,-0.516966,0.205108,463,1898,0.693237,1.07568,211
12500,-0.517665,0.204762,464,1904,0.632393,1.06889,217
15000,-0.517328,0.205287,466,1910,0.600509,1.06552,223
17500,-0.517796,0.20456,467,1917,0.589317,1.06732,230
20000,-0.516499,0.204617,469,1920,0.496825,1.07938,233
22500,-0.514501,0.204866,473,1930,0.71,1.08755,243
25000,-0.514086,0.205219,474,1934,0.76918,1.08595,247
27500,-0.513117,0.204251,476,1937,0.765248,1.07691,250
30000,-0.511096,0.203882,479,1940,0.49313,1.07581,253
32500,-0.512361,0.204145,480,1948,0.84712,1.06998,261
35000,-0.512361,0.204797,480,1948,0.842843,1.07236,261
37500,-0.511012,0.204233,482,1950,0.819986,1.07307,263
40000,-0.509638,0.203135,484,1952,0.667831,1.10522,265
42500,-0.508946,0.203381,486,1958,0.784184,1.08369,271
45000,-0.509469,0.205808,486,1960,0.689144,1.07831,273
47500,-0.510443,0.206034,486,1965,0.829608,1.0769,278
50000,-0.511084,0.205723,486,1968,0.777655,1.08603,281
52500,-0.511566,0.205375,486,1971,0.798401,1.07664,284
55000,-0.511566,0.204533,486,1971,0.767715,1.08143,284
57500,-0.511718,0.203451,486,1972,0.750293,1.07578,285
60000,-0.511621,0.204788,487,1977,0.599855,1.07465,290
62500,-0.511463,0.205374,488,1981,0.244679,1.08174,294
65000,-0.511662,0.205163,488,1982,0.337743,1.08854,295
67500,-0.512516,0.20703,488,1988,0.249699,1.08963,301
70000,-0.513157,0.206489,488,1992,0.516361,1.0965,305
72500,-0.513959,0.206323,488,1995,0.562842,1.09319,308
75000,-0.514123,0.206892,489,1998,0.488955,1.2436,311
77500,-0.514319,0.206169,489,1999,0.479646,1.14417,312
80000,-0.513897,0.205936,490,2002,0.546745,1.18087,315
82500,-0.513678,0.206133,491,2006,0.506778,1.07912,319
85000,-0.512343,0.205864,493,2008,0.503948,1.08608,321
87500,-0.512343,0.205941,493,2008,0.477257,1.07075,321
90000,-0.511956,0.206509,494,2010,0.471354,1.07752,323
92500,-0.512067,0.206765,494,2011,0.508031,1.07977,324
95000,-0.511367,0.207989,495,2012,0.563849,1.0723,325
97500,-0.511846,0.207797,495,2013,0.592017,1.08063,326
100000,-0.511846,0.206713,495,2013,0.573765,1.09618,326
