step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0117728,0.488367,848,1674,0.144996,2.64709,0
2500,-0.000331006,0.442848,917,1830,0.85603,1.12519,156
5000,-0.00107358,0.436178,941,1882,0.825213,1.11317,208
7500,0.00166496,0.435001,950,1895,0.726053,1.11396,221
10000,0.00407777,0.434871,959,1909,0.842378,1.10542,235
12500,0.00244711,0.435243,961,1916,0.815695,1.09517,242
15000,0.00551711,0.435814,968,1924,0.833023,1.09974,250
17500,0.00734296,0.43688,972,1928,0.823667,1.10577,254
20000,0.00932309,0.438447,976,1932,0.812815,1.10555,258
22500,0.00981042,0.438244,979,1937,0.845861,1.09937,263
25000,0.0108705,0.437196,982,1941,0.833927,1.09529,267
27500,0.0118155,0.437351,985,1945,0.829358,1.09864,271
30000,0.0121675,0.437586,986,1946,0.800909,1.10937,272
32500,0.0114844,0.436676,986,1947,0.806748,1.10798,273
35000,0.011259,0.436127,988,1951,0.82265,1.10072,277
37500,0.0113973,0.435155,990,1956,0.73537,1.10323,282
40000,0.0116239,0.435195,991,1958,0.740541,1.10777,284
42500,0.00973184,0.434617,994,1968,0.749831,1.09356,294
45000,0.0125346,0.432707,1001,1976,0.746343,1.09303,302
47500,0.0125407,0.434253,1002,1978,0.72774,1.09302,304
50000,0.0126043,0.43461,1005,1984,0.625059,1.08944,310
52500,0.0120349,0.435554,1005,1985,0.621751,1.0908,311
55000,0.0121134,0.436586,1006,1987,0.619254,1.09239,313
57500,0.0113948,0.43519,1007,1990,0.57746,1.09045,316
60000,0.0115172,0.435018,1008,1992,0.615438,1.08782,318
62500,0.0119899,0.436023,1009,1993,0.61437,1.08512,319
65000,0.0119457,0.435709,1010,1995,0.615667,1.09076,321
67500,0.0127007,0.433939,1017,2006,0.519633,1.09668,332
70000,0.0134463,0.43318,1020,2010,0.530121,1.10389,336
72500,0.0137867,0.434707,1022,2013,0.44617,1.1025,339
75000,0.0162132,0.435811,1026,2017,0.803479,1.10212,343
77500,0.0164039,0.436781,1027,2019,0.803034,1.09939,345
80000,0.0155621,0.434509,1027,2021,0.852992,1.10552,347
82500,0.0156207,0.433385,1028,2023,0.863846,1.10226,349
85000,0.0161815,0.43353,1030,2026,0.83545,1.10127,352
87500,0.0153645,0.433862,1031,2030,0.871408,1.09708,356
90000,0.0153645,0.434181,1031,2030,0.864657,1.10225,356
92500,0.0153645,0.432887,1031,2030,0.8565,1.09132,356
95000,0.0153645,0.432799,1031,2030,0.863978,1.09842,356
97500,0.0149445,0.433924,1031,2031,0.874055,1.08818,357
100000,0.015332,0.433724,1032,2032,0.871994,1.10906,358
