step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.511888,0.231011,417,1674,0.144996,2.64709,0
2500,-0.51655,0.189389,459,1845,0.88122,1.10573,171
5000,-0.512024,0.18799,469,1872,0.891685,1.09339,198
7500,-0.510268,0.186931,475,1892,0.871492,1.09078,218
10000,-0.507432,0.187209,482,1910,0.777871,1.0985,236
12500,-0.510629,0.187413,484,1928,0.775648,1.09526,254
15000,-0.509561,0.188317,487,1938,0.632652,1.09764,264
17500,-0.506683,0.187654,492,1946,0.602384,1.0926,272
20000,-0.50498,0.187763,496,1953,0.649442,1.0866,279
22500,-0.504235,0.187811,499,1960,0.670458,1.07963,286
25000,-0.502357,0.187374,502,1966,0.768957,1.08005,292
27500,-0.50277,0.186708,503,1974,0.756993,1.08113,300
30000,-0.503616,0.186487,503,1978,0.647773,1.08461,304
32500,-0.503914,0.186005,503,1979,0.640091,1.09006,305
35000,-0.504848,0.185801,503,1983,0.717988,1.07732,309
37500,-0.503804,0.185219,505,1986,0.726914,1.08288,312
40000,-0.504833,0.185189,505,1991,0.663381,1.0834,317
42500,-0.503509,0.186399,508,1998,0.654726,1.07428,324
45000,-0.503805,0.187732,508,1999,0.682969,1.08027,325
47500,-0.504483,0.186584,508,2002,0.73099,1.08094,328
50000,-0.505226,0.186232,508,2005,0.704879,1.08675,331
52500,-0.505976,0.185094,508,2008,0.713628,1.10216,334
55000,-0.505976,0.18493,508,2008,0.716538,1.09826,334
57500,-0.507549,0.184736,508,2013,0.681256,1.09181,339
60000,-0.507277,0.185696,509,2015,0.727341,1.08662,341
62500,-0.507277,0.185093,509,2015,0.7394,1.08588,341
65000,-0.506147,0.186007,511,2019,0.75743,1.08916,345
67500,-0.506147,0.186252,511,2019,0.723395,1.08844,345
70000,-0.506523,0.186005,511,2020,0.760178,1.08803,346
72500,-0.506558,0.186098,512,2023,0.751754,1.09025,349
75000,-0.507197,0.186083,512,2026,0.735426,1.09708,352
77500,-0.507362,0.185865,512,2027,0.736099,1.08639,353
80000,-0.507721,0.185626,512,2028,0.742491,1.12087,354
82500,-0.508227,0.184918,512,2030,0.735138,1.09874,356
85000,-0.507044,0.185023,514,2034,0.707967,1.1159,360
87500,-0.507044,0.18535,514,2034,0.698765,1.12187,360
90000,-0.506449,0.185468,515,2035,0.710309,1.12259,361
92500,-0.506581,0.184861,515,2036,0.690931,1.10017,362
95000,-0.506674,0.185229,515,2037,0.705101,1.10213,363
97500,-0.506674,0.186165,515,2037,0.767572,1.15009,363
100000,-0.506743,0.186155,515,2038,0.726979,1.12801,364
