step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0117728,0.488367,848,1674,0.144996,2.64709,0
2500,0.00334628,0.472225,917,1825,0.875109,1.09586,151
5000,0.000752406,0.467318,937,1869,0.872119,1.09037,195
7500,0.00109812,0.467765,948,1889,0.870497,1.10182,215
10000,0.0040997,0.468192,958,1903,0.88449,1.08612,229
12500,0.00367364,0.470107,968,1924,0.880149,1.09367,250
15000,0.00594223,0.470211,977,1938,0.542057,1.09525,264
17500,0.00675978,0.467037,984,1951,0.737208,1.13247,277
20000,0.00458082,0.469346,989,1966,0.694106,1.10387,292
22500,0.00428186,0.468995,993,1974,0.825782,1.09854,300
25000,0.00523927,0.4687,997,1980,0.830201,1.09692,306
27500,0.00833775,0.469175,1004,1988,0.820096,1.09374,314
30000,0.00848363,0.469554,1008,1995,0.835163,1.08794,321
32500,0.00848363,0.471022,1008,1995,0.851857,1.09448,321
35000,0.00966136,0.471103,1011,1999,0.864467,1.09365,325
37500,0.0104152,0.471572,1014,2003,0.838456,1.09073,329
40000,0.00932053,0.470996,1015,2007,0.852666,1.09026,333
42500,0.0101993,0.470764,1017,2009,0.849445,1.09684,335
45000,0.0107481,0.470725,1018,2010,0.75036,1.10225,336
47500,0.0112319,0.46981,1019,2011,0.799131,1.09164,337
50000,0.0113002,0.468901,1021,2015,0.804626,1.08864,341
52500,0.013457,0.467578,1025,2019,0.820483,1.09477,345
55000,0.0129316,0.466541,1025,2020,0.832092,1.09351,346
57500,0.0124813,0.467287,1025,2021,0.841154,1.10008,347
60000,0.0124813,0.467086,1025,2021,0.832658,1.10386,347
62500,0.0124813,0.468273,1025,2021,0.829148,1.09966,347
65000,0.0113794,0.467949,1025,2023,0.812028,1.09321,349
67500,0.0113794,0.468661,1025,2023,0.792026,1.09442,349
70000,0.0113794,0.467743,1025,2023,0.833528,1.08921,349
72500,0.0100344,0.465662,1026,2028,0.647284,1.09552,354
75000,0.00979159,0.464371,1027,2031,0.668626,1.08962,357
77500,0.0107458,0.467497,1029,2033,0.739123,1.09311,359
80000,0.0124075,0.463713,1032,2036,0.808084,1.08735,362
82500,0.0115319,0.462785,1032,2038,0.826796,1.08091,364
85000,0.0116751,0.462193,1033,2040,0.807058,1.08299,366
87500,0.0110241,0.461657,1034,2043,0.770996,1.08441,369
90000,0.0110241,0.462618,1034,2043,0.823294,1.09197,369
92500,0.0104778,0.463088,1034,2044,0.788932,1.08489,370
95000,0.0099878,0.463939,1034,2045,0.807323,1.09433,371
97500,0.00943555,0.464948,1035,2048,0.842016,1.09442,374
100000,0.00813358,0.465785,1036,2053,0.823561,1.40647,379
