step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0220885,0.513497,937,1830,0.697049,1.09036,144
5000,0.0249645,0.510987,957,1866,0.593459,1.08768,180
7500,0.0261812,0.513894,972,1893,0.610478,1.08138,207
10000,0.0221501,0.514103,974,1905,0.598355,1.08559,219
12500,0.0205827,0.515893,978,1915,0.65585,1.08492,229
15000,0.019623,0.517622,980,1922,0.665905,1.0702,236
17500,0.0202508,0.51749,983,1927,0.652641,1.07682,241
20000,0.0197364,0.517287,983,1928,0.6211,1.07502,242
22500,0.0185409,0.516969,985,1935,0.656348,1.08067,249
25000,0.0180509,0.51592,988,1942,0.711304,1.07153,256
27500,0.0187319,0.512794,991,1948,0.65841,1.06723,262
30000,0.0185152,0.513208,993,1953,0.886306,1.06857,267
32500,0.0177016,0.514297,994,1957,0.847846,1.06963,271
35000,0.0193603,0.513967,999,1963,0.81961,1.07081,277
37500,0.0195585,0.512442,1002,1968,0.820473,1.10542,282
40000,0.0186778,0.512198,1004,1973,0.805516,1.10812,287
42500,0.0181432,0.510373,1004,1974,0.778476,1.19701,288
45000,0.0204005,0.512825,1010,1982,0.844439,1.09066,296
47500,0.0204152,0.513785,1015,1991,0.869213,1.09118,305
50000,0.0201573,0.513958,1017,1995,0.822305,1.09785,309
52500,0.019195,0.513728,1019,2001,0.833857,1.11517,315
55000,0.0185878,0.514324,1020,2004,0.830546,1.09832,318
57500,0.0181982,0.515256,1026,2016,0.742597,1.13287,330
60000,0.0196371,0.514089,1030,2021,0.685167,1.17065,335
62500,0.0201645,0.515502,1033,2026,0.830259,1.09962,340
65000,0.0207031,0.515724,1037,2033,0.799799,1.10373,347
67500,0.0207593,0.517927,1038,2035,0.639262,1.11043,349
70000,0.0205961,0.518926,1039,2037,0.698146,1.09135,351
72500,0.0205961,0.518188,1039,2037,0.786967,1.09471,351
75000,0.0205961,0.519473,1040,2039,0.784452,1.09274,353
77500,0.0201298,0.52002,1043,2046,0.781686,1.10927,360
80000,0.0203188,0.518873,1047,2055,0.796664,1.13494,369
82500,0.0212466,0.514375,1051,2061,0.752813,1.11047,375
85000,0.0194501,0.518553,1053,2069,0.561759,1.19601,383
87500,0.0186695,0.519383,1056,2076,0.73148,1.14906,390
90000,0.0206522,0.516664,1060,2080,0.735884,1.12572,394
92500,0.02051,0.517198,1061,2082,0.660838,1.14873,396
95000,0.0226535,0.517425,1066,2088,0.847524,1.16799,402
97500,0.023046,0.515329,1069,2094,0.78398,1.11555,408
100000,0.024134,0.517206,1071,2096,0.823191,1.11183,410
