step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.561926,0.206827,383,1686,0.182048,2.44237,0
2500,-0.560019,0.166259,417,1840,0.803581,1.0853,154
5000,-0.561587,0.164005,423,1871,0.135878,1.07188,185
7500,-0.563553,0.16415,426,1899,0.827073,1.0836,213
10000,-0.562766,0.163152,430,1908,0.817973,1.07724,222
12500,-0.561455,0.162385,434,1919,0.744496,1.07821,233
15000,-0.560608,0.162804,436,1925,0.824534,1.06699,239
17500,-0.559562,0.164268,438,1931,0.830617,1.08036,245
20000,-0.558165,0.164279,441,1939,0.837032,1.08106,253
22500,-0.557598,0.163902,442,1942,0.836328,1.07916,256
25000,-0.55636,0.163988,444,1945,0.784285,1.07702,259
27500,-0.556952,0.163125,445,1951,0.720623,1.07195,265
30000,-0.554742,0.163221,448,1958,0.754194,1.0654,272
32500,-0.55503,0.163335,448,1961,0.747215,1.07152,275
35000,-0.55503,0.162888,448,1961,0.767254,1.07582,275
37500,-0.551818,0.162574,452,1966,0.842765,1.07797,280
40000,-0.552521,0.162421,452,1968,0.84036,1.08783,282
42500,-0.552543,0.163122,452,1969,0.821939,1.08218,283
45000,-0.551703,0.164622,454,1974,0.82689,1.08165,288
47500,-0.551442,0.164373,456,1981,0.741557,1.09227,295
50000,-0.552146,0.164366,456,1984,0.753499,1.12443,298
52500,-0.552047,0.16379,457,1990,0.734553,1.09295,304
55000,-0.551545,0.163285,458,1992,0.758734,1.09081,306
57500,-0.551784,0.163147,458,1993,0.747496,1.09076,307
60000,-0.551784,0.162444,458,1993,0.760573,1.08744,307
62500,-0.551784,0.162951,458,1993,0.76153,1.09138,307
65000,-0.552287,0.163866,458,1995,0.733024,1.08823,309
67500,-0.551538,0.163386,459,1996,0.781394,1.09077,310
70000,-0.550926,0.163615,460,1997,0.816085,1.09779,311
72500,-0.551551,0.163789,460,2000,0.823153,1.09238,314
75000,-0.551971,0.16379,460,2002,0.829408,1.08501,316
77500,-0.552759,0.163054,460,2006,0.878916,1.09546,320
80000,-0.553068,0.162585,460,2008,0.797034,1.09175,322
82500,-0.551641,0.163584,462,2010,0.829212,1.09599,324
85000,-0.551997,0.163838,462,2012,0.75429,1.09165,326
87500,-0.551766,0.164611,463,2016,0.792115,1.0851,330
90000,-0.551997,0.163682,463,2018,0.786718,1.08251,332
92500,-0.551266,0.163101,464,2019,0.733356,1.08932,333
95000,-0.550532,0.162687,465,2021,0.712166,1.09478,335
97500,-0.551015,0.164022,465,2024,0.508202,1.08777,338
100000,-0.550699,0.163091,466,2026,0.687052,1.0896,340
