step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.0207659,0.477704,826,1687,0.306695,2.50512,0
2500,-0.0210094,0.463543,902,1844,0.723029,1.08343,157
5000,-0.0200468,0.461388,917,1872,0.739605,1.08346,185
7500,-0.0225613,0.459304,920,1883,0.810037,1.08642,196
10000,-0.0221033,0.458663,925,1892,0.799185,1.08452,205
12500,-0.0220547,0.45869,930,1902,0.823391,1.08616,215
15000,-0.0184912,0.457461,938,1912,0.84707,1.08426,225
17500,-0.0180199,0.456863,943,1922,0.791614,1.08992,235
20000,-0.0175335,0.457407,945,1926,0.580353,1.10107,239
22500,-0.0173221,0.459148,947,1929,0.8201,1.15898,242
25000,-0.0158482,0.459643,951,1934,0.848991,1.1685,247
27500,-0.0146011,0.460353,955,1939,0.859318,1.18372,252
30000,-0.0151578,0.461025,957,1944,0.870777,1.11636,257
32500,-0.015693,0.461419,958,1947,0.864771,1.09032,260
35000,-0.0148724,0.461201,960,1949,0.84929,1.08507,262
37500,-0.0133654,0.46104,963,1952,0.869394,1.09083,265
40000,-0.0133654,0.460669,963,1952,0.873152,1.09186,265
42500,-0.0136873,0.460914,963,1953,0.88664,1.09309,266
45000,-0.0109178,0.460419,968,1958,0.851982,1.08905,271
47500,-0.0103269,0.45841,969,1959,0.859915,1.08483,272
50000,-0.0113978,0.45737,970,1964,0.888439,1.09645,277
52500,-0.0119207,0.458549,970,1965,0.895197,1.09384,278
55000,-0.0123594,0.45858,970,1966,0.89742,1.0963,279
57500,-0.0123594,0.458559,970,1966,0.892573,1.09659,279
60000,-0.0123594,0.45824,970,1966,0.88841,1.09876,279
62500,-0.0127331,0.458946,970,1967,0.876192,1.09722,280
65000,-0.0127331,0.460299,970,1967,0.883451,1.09622,280
67500,-0.0127331,0.460383,970,1967,0.879419,1.10037,280
70000,-0.0125516,0.459097,971,1969,0.885743,1.09549,282
72500,-0.0127555,0.459247,972,1971,0.889714,1.09225,284
75000,-0.0127555,0.459372,972,1971,0.878915,1.09312,284
77500,-0.0122881,0.458902,973,1972,0.862633,1.08778,285
80000,-0.0123307,0.458753,974,1974,0.87043,1.08915,287
82500,-0.0123307,0.457408,974,1974,0.871359,1.08746,287
85000,-0.0123307,0.45764,974,1974,0.847785,1.08888,287
87500,-0.0129018,0.458344,974,1975,0.848552,1.08588,288
90000,-0.0133508,0.457246,974,1976,0.839585,1.08969,289
92500,-0.0126453,0.457041,975,1977,0.826302,1.09838,290
95000,-0.0122852,0.457496,976,1978,0.810158,1.0961,291
97500,-0.0122852,0.458776,976,1978,0.871494,1.08954,291
100000,-0.0122852,0.45782,976,1978,0.871753,1.0979,291
