step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.551209,0.215679,393,1686,0.182048,2.44237,0
2500,-0.544812,0.192729,428,1833,0.852201,1.08614,147
5000,-0.545868,0.191627,435,1872,0.855049,1.0707,186
7500,-0.543199,0.193761,442,1890,0.812694,1.0711,204
10000,-0.543983,0.193988,444,1903,0.714753,1.06595,217
12500,-0.544482,0.193414,446,1915,0.702897,1.06857,229
15000,-0.543131,0.191822,449,1923,0.875272,1.1836,237
17500,-0.539178,0.191135,454,1931,0.73894,1.21124,245
20000,-0.540091,0.190982,455,1938,0.58408,1.37177,252
22500,-0.539567,0.193122,458,1947,0.859989,1.11593,261
25000,-0.537265,0.191449,462,1952,0.826103,1.33146,266
27500,-0.535514,0.192244,466,1961,0.826329,1.09215,275
30000,-0.534478,0.192748,468,1968,0.793777,1.06995,282
32500,-0.533503,0.192362,470,1972,0.827304,1.06252,286
35000,-0.532398,0.193111,472,1976,0.846575,1.0625,290
37500,-0.531865,0.193039,473,1978,0.816021,1.06883,292
40000,-0.530568,0.192457,476,1984,0.758137,1.15088,298
42500,-0.529076,0.192735,479,1990,0.79237,1.11144,304
45000,-0.528522,0.193496,480,1991,0.813594,1.06773,305
47500,-0.529143,0.194487,480,1996,0.795651,1.13673,310
50000,-0.527595,0.196983,483,2003,0.772552,1.09805,317
52500,-0.527806,0.196021,483,2004,0.820319,1.09786,318
55000,-0.526878,0.196648,485,2010,0.787416,1.08589,324
57500,-0.526484,0.195012,486,2012,0.835649,1.08175,326
60000,-0.52655,0.195782,486,2013,0.839166,1.0829,327
62500,-0.526052,0.195322,487,2015,0.8305,1.0867,329
65000,-0.526744,0.197443,487,2019,0.526183,1.08692,333
67500,-0.523762,0.197535,491,2024,0.822642,1.09378,338
70000,-0.523762,0.195318,491,2024,0.82234,1.10291,338
72500,-0.521666,0.195814,495,2029,0.815096,1.09847,343
75000,-0.521666,0.19477,495,2029,0.806639,1.09414,343
77500,-0.521666,0.195404,495,2029,0.802838,1.09262,343
80000,-0.521739,0.194564,495,2030,0.799565,1.11142,344
82500,-0.521739,0.193438,495,2030,0.812686,1.09821,344
85000,-0.521739,0.193168,495,2030,0.82304,1.10458,344
87500,-0.521739,0.193931,495,2030,0.822036,1.10628,344
90000,-0.521739,0.194181,495,2030,0.789779,1.08072,344
92500,-0.521739,0.194755,495,2030,0.776016,1.07848,344
95000,-0.522075,0.193533,495,2032,0.738668,1.08202,346
97500,-0.522075,0.194487,495,2032,0.769927,1.08822,346
100000,-0.522075,0.194159,495,2032,0.783758,1.08917,346
