step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.47255,0.252079,448,1674,0.144996,2.64709,0
2500,-0.465843,0.22269,498,1828,0.855305,1.10367,154
5000,-0.458585,0.221792,514,1860,0.881308,1.11391,186
7500,-0.459981,0.222761,519,1880,0.853038,1.10539,206
10000,-0.461349,0.222109,521,1892,0.852494,1.0915,218
12500,-0.458828,0.222422,525,1897,0.861094,1.09773,223
15000,-0.45668,0.222487,531,1913,0.877704,1.1069,239
17500,-0.458198,0.22388,532,1923,0.877387,1.10803,249
20000,-0.458299,0.226491,535,1937,0.556751,1.11542,263
22500,-0.458378,0.223326,537,1947,0.865868,1.10345,273
25000,-0.457807,0.223222,540,1957,0.834645,1.09426,283
27500,-0.458166,0.223186,542,1963,0.831899,1.09633,289
30000,-0.458195,0.222362,543,1967,0.82053,1.08825,293
32500,-0.457906,0.222406,544,1971,0.838266,1.08391,297
35000,-0.457521,0.222496,545,1973,0.850196,1.0819,299
37500,-0.456292,0.223331,548,1981,0.853402,1.0813,307
40000,-0.456711,0.22523,548,1984,0.870928,1.07827,310
42500,-0.45676,0.22418,549,1987,0.831231,1.08166,313
45000,-0.456165,0.223711,550,1988,0.832538,1.09329,314
47500,-0.455717,0.223966,551,1992,0.82311,1.08335,318
50000,-0.456346,0.222524,551,1994,0.856089,1.08039,320
52500,-0.455239,0.222914,555,2002,0.874336,1.08437,328
55000,-0.454483,0.223367,556,2004,0.867715,1.09355,330
57500,-0.454869,0.223367,556,2005,0.864232,1.08276,331
60000,-0.455065,0.223367,556,2006,0.839126,1.08336,332
62500,-0.455065,0.22248,556,2006,0.771659,1.08538,332
65000,-0.455065,0.221387,556,2006,0.786733,1.08611,332
67500,-0.454814,0.221302,557,2008,0.853837,1.08697,334
70000,-0.454917,0.221561,557,2009,0.867025,1.08184,335
72500,-0.454917,0.222326,557,2009,0.867156,1.09094,335
75000,-0.455378,0.221634,557,2011,0.842918,1.07997,337
77500,-0.455105,0.221574,558,2014,0.866436,1.08395,340
80000,-0.455435,0.222501,558,2015,0.864882,1.08018,341
82500,-0.454548,0.222162,560,2019,0.870279,1.08468,345
85000,-0.454801,0.222442,560,2020,0.867487,1.08638,346
87500,-0.454801,0.222738,560,2020,0.863897,1.08291,346
90000,-0.455111,0.222769,560,2022,0.858588,1.08117,348
92500,-0.455255,0.221415,560,2023,0.814375,1.07973,349
95000,-0.454718,0.222041,561,2024,0.686185,1.07849,350
97500,-0.4552,0.221931,561,2026,0.747022,1.07189,352
100000,-0.455971,0.221971,561,2028,0.842865,1.07658,354
