step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0117728,0.488367,848,1674,0.144996,2.64709,0
2500,-0.00400292,0.443044,920,1844,0.877109,1.10523,170
5000,-0.00367406,0.436189,935,1874,0.866774,1.09232,200
7500,-0.00270394,0.434828,941,1884,0.862449,1.09431,210
10000,-0.00300278,0.434299,947,1897,0.827132,1.09181,223
12500,0.00184494,0.435164,959,1912,0.823847,1.08976,238
15000,0.00276382,0.435108,964,1920,0.687801,1.2858,246
17500,0.000753213,0.432215,966,1927,0.555161,1.07761,253
20000,-0.000603615,0.433126,968,1934,0.288643,1.07583,260
22500,-0.000675853,0.43213,975,1947,0.576629,1.09058,273
25000,-0.00138336,0.430402,980,1959,0.520063,1.08604,285
27500,-0.00279348,0.430593,981,1964,0.685576,1.09829,290
30000,-0.00272742,0.429906,983,1968,0.713838,1.09233,294
32500,-0.00318205,0.429106,984,1971,0.770097,1.09118,297
35000,-0.00271117,0.42924,988,1978,0.777032,1.08358,304
37500,-0.00331536,0.429691,988,1979,0.799838,1.0829,305
40000,-0.00228075,0.42977,990,1981,0.829236,1.0903,307
42500,-0.00298578,0.430186,990,1982,0.821139,1.09579,308
45000,-0.0026971,0.430023,992,1985,0.814279,1.13142,311
47500,-0.00160213,0.430039,994,1987,0.812298,1.08673,313
50000,-0.00159672,0.429417,995,1989,0.800144,1.09346,315
52500,-0.00145718,0.4299,996,1991,0.810198,1.08766,317
55000,-0.00212972,0.429412,996,1993,0.794851,1.09242,319
57500,-0.00264213,0.429382,998,1998,0.797722,1.10427,324
60000,-0.00368851,0.428474,998,2000,0.815187,1.09359,326
62500,-0.00287421,0.428088,1000,2002,0.802812,1.10443,328
65000,-0.00345327,0.427275,1000,2003,0.820991,1.09141,329
67500,-0.00274096,0.427382,1002,2005,0.821925,1.09118,331
70000,-0.0022929,0.427327,1003,2006,0.816881,1.0965,332
72500,-0.0022929,0.427598,1003,2006,0.811732,1.10463,332
75000,-0.00249197,0.426988,1004,2008,0.816793,1.09827,334
77500,-0.00292695,0.42825,1004,2009,0.805189,1.09809,335
80000,-0.0014899,0.428169,1009,2015,0.625539,1.10136,341
82500,-0.0014899,0.428974,1009,2015,0.668952,1.08969,341
85000,-0.000508997,0.428387,1012,2019,0.74473,1.08574,345
87500,4.10399e-05,0.427538,1013,2020,0.75346,1.09058,346
90000,-0.000365068,0.428573,1013,2021,0.706303,1.08443,347
92500,-0.000304595,0.4289,1014,2023,0.725523,1.09412,349
95000,-0.000304595,0.428674,1014,2023,0.779317,1.0902,349
97500,0.000295739,0.426956,1016,2026,0.789368,1.08465,352
100000,-0.000331802,0.426757,1017,2029,0.721934,1.08651,355
