step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.551209,0.215679,393,1686,0.182048,2.44237,0
2500,-0.543256,0.186267,429,1827,0.841426,1.08944,141
5000,-0.541725,0.184006,441,1873,0.125607,1.08072,187
7500,-0.540232,0.185653,447,1892,0.845241,1.07842,206
10000,-0.54028,0.185724,452,1911,0.845031,1.07553,225
12500,-0.540589,0.183764,453,1917,0.735471,1.08141,231
15000,-0.541653,0.184734,455,1929,0.671892,1.07568,243
17500,-0.541657,0.18538,457,1938,0.603472,1.12405,252
20000,-0.539637,0.185751,460,1943,0.640259,1.08386,257
22500,-0.538492,0.18461,462,1947,0.623762,1.0849,261
25000,-0.53565,0.183787,467,1957,0.621341,1.08274,271
27500,-0.535778,0.183517,467,1958,0.611713,1.08647,272
30000,-0.534868,0.184031,469,1962,0.594912,1.08049,276
32500,-0.535788,0.185044,469,1965,0.565428,1.07952,279
35000,-0.534884,0.187277,471,1970,0.550681,1.06678,284
37500,-0.534149,0.18853,473,1976,0.549343,1.07276,290
40000,-0.535263,0.18926,473,1981,0.569868,1.071,295
42500,-0.533716,0.188168,476,1988,0.552898,1.06992,302
45000,-0.53286,0.187116,478,1991,0.485597,1.07486,305
47500,-0.532664,0.188257,479,1994,0.366756,1.07349,308
50000,-0.5334,0.188693,479,1999,0.280531,1.08503,313
52500,-0.532949,0.187874,481,2005,0.643845,1.1279,319
55000,-0.532473,0.187217,483,2013,0.617289,1.10287,327
57500,-0.532835,0.187785,483,2014,0.616702,1.07623,328
60000,-0.532786,0.186271,484,2018,0.659514,1.07536,332
62500,-0.533046,0.187025,485,2023,0.701298,1.09918,337
65000,-0.532057,0.187973,488,2031,0.709274,1.10682,345
67500,-0.532519,0.186553,488,2034,0.698563,1.09379,348
70000,-0.532587,0.185839,488,2035,0.702055,1.07734,349
72500,-0.529697,0.186636,492,2039,0.748681,1.07529,353
75000,-0.528167,0.186126,495,2043,0.759741,1.07666,357
77500,-0.528371,0.185853,495,2044,0.766591,1.07769,358
80000,-0.528371,0.186419,495,2044,0.763814,1.08209,358
82500,-0.528499,0.185203,495,2046,0.756518,1.08409,360
85000,-0.527881,0.186018,496,2048,0.729607,1.06797,362
87500,-0.52808,0.186161,496,2049,0.77213,1.07495,363
90000,-0.527304,0.18502,497,2050,0.780601,1.08132,364
92500,-0.52764,0.184367,497,2051,0.780721,1.08576,365
95000,-0.526991,0.183946,498,2052,0.721744,1.07521,366
97500,-0.527102,0.183825,498,2053,0.730175,1.07337,367
100000,-0.527102,0.183991,498,2053,0.772885,1.07369,367
