step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0163909,0.473936,928,1824,0.803834,1.09883,138
5000,0.0158676,0.471805,946,1860,0.827534,1.08988,174
7500,0.0171586,0.469656,960,1885,0.814059,1.08921,199
10000,0.0159028,0.469244,964,1894,0.810529,1.0925,208
12500,0.0147915,0.469323,970,1908,0.821841,1.09522,222
15000,0.0144616,0.469096,975,1919,0.819578,1.08327,233
17500,0.0162738,0.468433,984,1932,0.835575,1.08607,246
20000,0.0167356,0.467264,989,1941,0.848027,1.08456,255
22500,0.016269,0.468618,991,1946,0.857688,1.08706,260
25000,0.0163191,0.468423,994,1951,0.856135,1.09019,265
27500,0.0156916,0.469553,995,1955,0.837742,1.07769,269
30000,0.0156484,0.46931,997,1959,0.790616,1.0805,273
32500,0.016078,0.468946,1000,1964,0.830895,1.08488,278
35000,0.0157588,0.468231,1000,1965,0.848878,1.08241,279
37500,0.0172421,0.46686,1004,1970,0.849903,1.08755,284
40000,0.0179763,0.46585,1007,1974,0.854363,1.0901,288
42500,0.0185889,0.465469,1008,1975,0.862751,1.09597,289
45000,0.019,0.466805,1009,1976,0.858738,1.09763,290
47500,0.0184535,0.468002,1009,1977,0.84617,1.0864,291
50000,0.0175302,0.466773,1010,1981,0.820036,1.08817,295
52500,0.0170699,0.46809,1010,1982,0.840837,1.08822,296
55000,0.0159901,0.467985,1011,1986,0.837967,1.08665,300
57500,0.0159382,0.467394,1012,1988,0.836247,1.09172,302
60000,0.0167281,0.467055,1013,1989,0.83523,1.08911,303
62500,0.0161634,0.467572,1013,1990,0.812917,1.08358,304
65000,0.0147283,0.466969,1013,1993,0.653555,1.08441,307
67500,0.0143542,0.464646,1014,1996,0.643385,1.0795,310
70000,0.014847,0.464475,1015,1997,0.665783,1.07785,311
72500,0.014368,0.464934,1016,2000,0.729158,1.06899,314
75000,0.013883,0.465618,1016,2001,0.691709,1.07854,315
77500,0.0144037,0.464978,1017,2002,0.660666,1.07217,316
80000,0.0152458,0.463792,1020,2006,0.581063,1.06927,320
82500,0.0146449,0.4649,1020,2007,0.601721,1.06864,321
85000,0.0153506,0.46681,1023,2011,0.645707,1.07109,325
87500,0.0162388,0.466819,1025,2013,0.622049,1.07059,327
90000,0.015859,0.466963,1025,2014,0.662719,1.07401,328
92500,0.0162096,0.466158,1026,2015,0.626593,1.06766,329
95000,0.0162096,0.465445,1026,2015,0.610066,1.06772,329
97500,0.0147913,0.464905,1026,2018,0.619532,1.07415,332
100000,0.0147449,0.465488,1027,2020,0.665901,1.07468,334
