step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.0207659,0.477704,826,1687,0.306695,2.50512,0
2500,-0.0275186,0.464499,901,1853,0.878903,1.09005,166
5000,-0.0248065,0.460736,918,1882,0.891663,1.08118,195
7500,-0.0251873,0.457387,925,1897,0.900153,1.08948,210
10000,-0.0243832,0.456517,933,1913,0.906989,1.08974,226
12500,-0.025197,0.455788,936,1921,0.88491,1.09316,234
15000,-0.0245926,0.453561,942,1932,0.661661,1.08667,245
17500,-0.0248533,0.452332,945,1939,0.695812,1.08952,252
20000,-0.0232167,0.453926,951,1949,0.643072,1.0792,262
22500,-0.0225931,0.455641,955,1956,0.415627,1.0838,269
25000,-0.0242529,0.456212,958,1966,0.384099,1.07476,279
27500,-0.0257579,0.456407,960,1973,0.391535,1.07853,286
30000,-0.025983,0.455908,963,1980,0.397652,1.09641,293
32500,-0.0263829,0.457201,964,1983,0.537313,1.08286,296
35000,-0.0245671,0.458812,968,1988,0.450085,1.07019,301
37500,-0.0238659,0.460081,972,1995,0.496453,1.07127,308
40000,-0.0228792,0.459137,974,1997,0.326473,1.06448,310
42500,-0.0226657,0.459497,977,2003,0.342066,1.06818,316
45000,-0.0226114,0.459767,978,2005,0.383267,1.06864,318
47500,-0.0234888,0.459173,978,2007,0.471367,1.06181,320
50000,-0.0230704,0.459287,979,2008,0.466893,1.05743,321
52500,-0.0228808,0.457022,981,2012,0.478803,1.08042,325
55000,-0.0223555,0.457535,982,2013,0.488684,1.07737,326
57500,-0.0208629,0.457314,985,2016,0.547769,1.07786,329
60000,-0.0206779,0.457304,986,2018,0.479148,1.08131,331
62500,-0.0199269,0.456606,988,2021,0.457076,1.08127,334
65000,-0.0199269,0.457318,988,2021,0.420073,1.09019,334
67500,-0.0202979,0.456735,988,2022,0.385012,1.08355,335
70000,-0.0202979,0.457536,988,2022,0.416547,1.077,335
72500,-0.0209069,0.456976,988,2023,0.403829,1.07568,336
75000,-0.0210356,0.458382,989,2025,0.397323,1.07388,338
77500,-0.0199981,0.457652,991,2027,0.452154,1.06849,340
80000,-0.0200665,0.458089,992,2029,0.421977,1.07367,342
82500,-0.0200665,0.459334,992,2029,0.387913,1.07574,342
85000,-0.0200665,0.4596,992,2029,0.413006,1.08286,342
87500,-0.0195646,0.458904,993,2030,0.4081,1.13668,343
90000,-0.0187504,0.459642,995,2032,0.385378,1.3681,345
92500,-0.0199193,0.46088,995,2034,0.404755,1.15132,347
95000,-0.0207086,0.45926,997,2039,0.350346,1.10457,352
97500,-0.0202255,0.459123,998,2040,0.27876,1.10393,353
100000,-0.0212739,0.459442,998,2042,0.315033,1.0926,355
