step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.47255,0.252079,448,1674,0.144996,2.64709,0
2500,-0.469819,0.204643,498,1839,0.865912,1.0971,165
5000,-0.469067,0.202524,508,1878,0.834338,1.09531,204
7500,-0.470744,0.203316,512,1900,0.807468,1.10528,226
10000,-0.471631,0.202557,516,1918,0.484491,1.09512,244
12500,-0.471949,0.199983,519,1930,0.546338,1.11986,256
15000,-0.471601,0.198729,522,1940,0.543616,1.09345,266
17500,-0.471353,0.198903,526,1951,0.476966,1.09495,277
20000,-0.468456,0.198405,533,1964,0.406721,1.10703,290
22500,-0.467082,0.197832,535,1968,0.46219,1.09868,294
25000,-0.466307,0.1984,537,1973,0.45886,1.09942,299
27500,-0.465697,0.200746,539,1977,0.568511,1.10731,303
30000,-0.465962,0.199819,541,1985,0.633071,1.10509,311
32500,-0.465504,0.199319,542,1987,0.648901,1.10747,313
35000,-0.467018,0.199998,542,1993,0.53579,1.114,319
37500,-0.466725,0.201593,544,2000,0.540531,1.10799,326
40000,-0.466287,0.201784,546,2009,0.510073,1.10157,335
42500,-0.466937,0.201754,546,2012,0.406445,1.08613,338
45000,-0.465368,0.201512,549,2017,0.39933,1.08648,343
47500,-0.465658,0.203387,550,2020,0.223924,1.08361,346
50000,-0.463874,0.202091,553,2024,0.266931,1.08622,350
52500,-0.465276,0.200204,554,2034,0.623881,1.16839,360
55000,-0.466209,0.198849,554,2037,0.606417,1.18451,363
57500,-0.466078,0.198512,555,2039,0.632572,1.08121,365
60000,-0.465412,0.199518,556,2041,0.66123,1.08341,367
62500,-0.465692,0.201584,556,2042,0.664017,1.09589,368
65000,-0.465971,0.201224,556,2043,0.629002,1.08755,369
67500,-0.465066,0.199683,558,2046,0.639328,1.08928,372
70000,-0.466107,0.198982,558,2049,0.678449,1.10975,375
72500,-0.46466,0.19968,560,2051,0.687042,1.13082,377
75000,-0.46466,0.199522,560,2051,0.66661,1.10453,377
77500,-0.464137,0.19982,561,2052,0.652777,1.09725,378
80000,-0.464662,0.200166,561,2053,0.670275,1.10475,379
82500,-0.464662,0.199501,561,2053,0.714137,1.11697,379
85000,-0.464662,0.198938,561,2053,0.69627,1.11543,379
87500,-0.464662,0.199871,561,2053,0.678222,1.11116,379
90000,-0.464662,0.200759,561,2053,0.628863,1.11399,379
92500,-0.465146,0.200482,561,2055,0.572831,1.11142,381
95000,-0.463762,0.201732,563,2057,0.539818,1.13657,383
97500,-0.463982,0.201927,563,2058,0.510974,1.08557,384
100000,-0.464103,0.201001,563,2059,0.536231,1.10433,385
