step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.511888,0.231011,417,1674,0.144996,2.64709,0
2500,-0.506614,0.206292,462,1828,0.890495,1.0933,154
5000,-0.504155,0.205559,476,1877,0.874497,1.09366,203
7500,-0.507374,0.205412,476,1895,0.876713,1.09197,221
10000,-0.506522,0.205256,479,1907,0.781684,1.08619,233
12500,-0.506549,0.206698,481,1917,0.628331,1.09368,243
15000,-0.504843,0.207199,487,1932,0.301866,1.09985,258
17500,-0.503716,0.207672,490,1940,0.401587,1.10495,266
20000,-0.504093,0.206446,493,1952,0.429352,1.10115,278
22500,-0.50255,0.207414,497,1960,0.441079,1.085,286
25000,-0.499863,0.208908,502,1967,0.515062,1.08883,293
27500,-0.500236,0.210152,505,1980,0.606104,1.08782,306
30000,-0.499512,0.21031,507,1984,0.657952,1.11583,310
32500,-0.498201,0.210265,510,1990,0.605765,1.08754,316
35000,-0.498022,0.210301,512,1996,0.591802,1.08104,322
37500,-0.496719,0.209497,514,1998,0.62112,1.07804,324
40000,-0.496088,0.208278,515,2000,0.63412,1.08032,326
42500,-0.495168,0.207187,517,2004,0.573998,1.08949,330
45000,-0.495208,0.204945,518,2007,0.520203,1.09041,333
47500,-0.494212,0.205827,520,2011,0.42093,1.12368,337
50000,-0.495311,0.207199,522,2024,0.423315,1.27483,350
52500,-0.495623,0.210033,522,2026,0.420678,1.1036,352
55000,-0.495576,0.209168,523,2029,0.437079,1.096,355
57500,-0.496396,0.20638,523,2032,0.441269,1.23584,358
60000,-0.496113,0.206441,525,2038,0.422912,1.157,364
62500,-0.496485,0.207555,525,2039,0.350833,1.16714,365
65000,-0.495253,0.209317,527,2041,0.454185,1.11299,367
67500,-0.494547,0.209735,528,2043,0.475314,1.13116,369
70000,-0.494671,0.209544,528,2044,0.532184,1.12191,370
72500,-0.494793,0.208623,528,2046,0.496386,1.13057,372
75000,-0.494411,0.208068,529,2048,0.507545,1.13322,374
77500,-0.492869,0.210365,532,2052,0.521344,1.11277,378
80000,-0.492373,0.209724,533,2055,0.578578,1.13675,381
82500,-0.492373,0.210013,533,2055,0.667978,1.16088,381
85000,-0.49235,0.207965,535,2060,0.63043,1.18164,386
87500,-0.49235,0.208497,535,2060,0.626549,1.19407,386
90000,-0.491727,0.209395,536,2062,0.650834,1.16941,388
92500,-0.491727,0.208562,536,2062,0.635835,1.12308,388
95000,-0.490278,0.20623,538,2065,0.620964,1.1015,391
97500,-0.49121,0.205357,538,2072,0.529903,1.10481,398
100000,-0.491438,0.208322,539,2078,0.643007,1.08555,404
