step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.530426,0.218831,405,1687,0.306695,2.50512,0
2500,-0.525628,0.19419,443,1845,0.663513,1.08111,158
5000,-0.522142,0.196366,452,1870,0.520728,1.07558,183
7500,-0.5187,0.196785,460,1889,0.53396,1.10096,202
10000,-0.519414,0.196954,462,1903,0.654567,1.0843,216
12500,-0.518855,0.195205,466,1916,0.70492,1.08348,229
15000,-0.517371,0.194932,470,1925,0.668641,1.0845,238
17500,-0.517589,0.1949,473,1940,0.640969,1.12167,253
20000,-0.518307,0.194183,474,1946,0.639277,1.09111,259
22500,-0.518396,0.194451,476,1955,0.528894,1.08515,268
25000,-0.518187,0.19521,477,1960,0.632655,1.16838,273
27500,-0.51787,0.194287,478,1964,0.682098,1.26776,277
30000,-0.519686,0.193723,478,1971,0.764089,1.0875,284
32500,-0.519815,0.19302,479,1976,0.733824,1.08603,289
35000,-0.519214,0.192655,480,1978,0.871119,1.08991,291
37500,-0.518166,0.192821,482,1981,0.781737,1.08663,294
40000,-0.517812,0.192365,483,1984,0.767318,1.08539,297
42500,-0.517911,0.193018,484,1989,0.862353,1.08894,302
45000,-0.51812,0.192587,484,1990,0.882176,1.08351,303
47500,-0.517239,0.192502,485,1991,0.815512,1.081,304
50000,-0.517239,0.192538,485,1991,0.869155,1.08345,304
52500,-0.517692,0.191774,486,1996,0.639162,1.08836,309
55000,-0.517252,0.191729,487,1999,0.708576,1.07845,312
57500,-0.517252,0.192227,487,1999,0.781342,1.07671,312
60000,-0.517252,0.192789,487,1999,0.770803,1.08713,312
62500,-0.517026,0.193133,488,2002,0.850028,1.08711,315
65000,-0.51736,0.192431,488,2004,0.71919,1.09109,317
67500,-0.51608,0.193137,490,2007,0.802801,1.08999,320
70000,-0.516293,0.193278,490,2008,0.819568,1.08462,321
72500,-0.516081,0.193867,491,2011,0.80073,1.08611,324
75000,-0.516081,0.193644,491,2011,0.817022,1.09498,324
77500,-0.515693,0.194126,492,2013,0.852328,1.09518,326
80000,-0.515693,0.195049,492,2013,0.710371,1.11216,326
82500,-0.516607,0.194814,492,2017,0.735384,1.09343,330
85000,-0.51559,0.195034,494,2020,0.618671,1.08169,333
87500,-0.515678,0.194816,494,2021,0.556105,1.07639,334
90000,-0.515776,0.194965,494,2022,0.483547,1.0876,335
92500,-0.513893,0.194358,497,2026,0.559285,1.0885,339
95000,-0.5141,0.193568,498,2029,0.696936,1.08956,342
97500,-0.514341,0.193783,498,2031,0.719886,1.09293,344
100000,-0.512913,0.192867,500,2033,0.740108,1.09633,346
