step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.529909,0.220884,405,1687,0.306695,2.50512,0
2500,-0.5232,0.203766,444,1841,0.725044,1.0819,154
5000,-0.521914,0.206147,451,1867,0.682948,1.07787,180
7500,-0.523888,0.205589,453,1885,0.759911,1.07266,198
10000,-0.522364,0.204246,456,1891,0.782443,1.07129,204
12500,-0.521332,0.204259,458,1896,0.759437,1.08045,209
15000,-0.522308,0.203166,458,1901,0.777049,1.07759,214
17500,-0.519569,0.202089,462,1906,0.725967,1.07413,219
20000,-0.518974,0.203079,464,1910,0.711364,1.07748,223
22500,-0.519993,0.204074,464,1915,0.760481,1.07185,228
25000,-0.519993,0.204577,464,1915,0.821689,1.08256,228
27500,-0.521007,0.20483,464,1919,0.805114,1.07706,232
30000,-0.520649,0.203968,465,1924,0.825838,1.07337,237
32500,-0.521424,0.203166,465,1927,0.833481,1.07038,240
35000,-0.521921,0.203707,465,1929,0.723874,1.0695,242
37500,-0.52113,0.203289,467,1933,0.713722,1.07095,246
40000,-0.521786,0.203088,467,1935,0.755853,1.06934,248
42500,-0.521398,0.203899,468,1937,0.513725,1.0672,250
45000,-0.520858,0.204269,469,1939,0.71547,1.07108,252
47500,-0.52051,0.204754,472,1951,0.820723,1.06943,264
50000,-0.520398,0.204954,473,1955,0.736742,1.07341,268
52500,-0.520077,0.204583,474,1957,0.79209,1.07609,270
55000,-0.519151,0.205345,475,1958,0.741822,1.07813,271
57500,-0.519396,0.20591,475,1960,0.763158,1.07855,273
60000,-0.519396,0.205877,475,1960,0.754265,1.07554,273
62500,-0.519551,0.204767,475,1962,0.762,1.07597,275
65000,-0.519302,0.205303,476,1965,0.722796,1.08578,278
67500,-0.519302,0.206679,476,1965,0.734084,1.08969,278
70000,-0.51942,0.206053,476,1966,0.697605,1.08011,279
72500,-0.520577,0.206642,476,1970,0.7193,1.07331,283
75000,-0.521299,0.206768,476,1973,0.706694,1.0704,286
77500,-0.521299,0.206574,476,1973,0.669505,1.0703,286
80000,-0.521026,0.205838,477,1975,0.647995,1.07179,288
82500,-0.521904,0.206617,478,1982,0.427484,1.07295,295
85000,-0.521228,0.204911,480,1987,0.578773,1.06558,300
87500,-0.521228,0.205234,480,1987,0.582793,1.07221,300
90000,-0.520971,0.206257,481,1990,0.537939,1.06778,303
92500,-0.520971,0.20603,481,1990,0.427909,1.06413,303
95000,-0.52168,0.206321,481,1992,0.386886,1.06788,305
97500,-0.52168,0.206218,481,1992,0.308986,1.07151,305
100000,-0.521265,0.207542,482,1994,0.677404,1.08728,307
