step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0117728,0.488367,848,1674,0.144996,2.64709,0
2500,0.00446188,0.470591,923,1834,0.840883,1.10455,160
5000,0.00247132,0.467444,940,1871,0.872713,1.10943,197
7500,0.000697624,0.466463,944,1882,0.869491,1.09614,208
10000,0.00167641,0.46469,951,1896,0.880364,1.09631,222
12500,0.00331039,0.465483,959,1909,0.793982,1.1021,235
15000,0.00362978,0.465756,964,1919,0.746976,1.08871,245
17500,0.00136496,0.464146,966,1927,0.833941,1.08838,253
20000,0.00141326,0.463037,968,1931,0.845764,1.09679,257
22500,0.00213825,0.46281,970,1934,0.824335,1.09402,260
25000,0.00216773,0.461779,972,1938,0.798218,1.0928,264
27500,0.000393619,0.460435,973,1943,0.832242,1.08854,269
30000,0.00129285,0.460633,976,1947,0.813788,1.0878,273
32500,0.0021209,0.458698,978,1950,0.715846,1.08408,276
35000,0.00194083,0.458726,980,1955,0.833437,1.08456,281
37500,0.00230697,0.458186,982,1958,0.805157,1.08342,284
40000,0.00264201,0.459471,983,1959,0.856165,1.09238,285
42500,0.00137421,0.461278,983,1962,0.856257,1.08988,288
45000,-0.00152958,0.461795,983,1967,0.827758,1.08968,293
47500,-0.00146244,0.461813,984,1969,0.830479,1.08839,295
50000,-0.00164848,0.461846,987,1975,0.81303,1.08528,301
52500,-0.00228781,0.461936,987,1976,0.815561,1.08972,302
55000,-0.00337378,0.462801,987,1978,0.832933,1.0919,304
57500,-0.0038379,0.461458,987,1979,0.652011,1.08654,305
60000,-0.0038379,0.46079,987,1979,0.625377,1.08421,305
62500,-0.0038379,0.460057,987,1979,0.618383,1.08173,305
65000,-0.00375604,0.460828,988,1981,0.615098,1.08377,307
67500,-0.0035828,0.461419,990,1984,0.597919,1.08687,310
70000,-0.00320718,0.459963,992,1987,0.704393,1.08213,313
72500,-0.00485378,0.460251,992,1990,0.828452,1.08253,316
75000,-0.00582539,0.459667,993,1994,0.832336,1.08073,320
77500,-0.00419645,0.460324,996,1997,0.826199,1.08077,323
80000,-0.00359259,0.459171,998,2000,0.811034,1.08726,326
82500,-0.00184717,0.458211,1001,2003,0.799265,1.08861,329
85000,-0.00184717,0.457513,1001,2003,0.800097,1.08965,329
87500,-0.00185602,0.457886,1002,2005,0.77907,1.08209,331
90000,-0.00127934,0.459437,1003,2006,0.760651,1.09142,332
92500,-0.000912641,0.459234,1007,2013,0.763922,1.08084,339
95000,-0.00182732,0.459002,1008,2017,0.790469,1.08861,343
97500,-0.00121742,0.459634,1010,2020,0.811029,1.08074,346
100000,-0.00121742,0.459225,1010,2020,0.799737,1.08673,346
