step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0163589,0.504831,929,1824,0.814337,1.09023,138
5000,0.0226778,0.503009,956,1867,0.396456,1.08962,181
7500,0.0250789,0.504508,967,1884,0.432026,1.07442,198
10000,0.0267594,0.504639,974,1895,0.875789,1.07855,209
12500,0.0279571,0.505783,982,1908,0.765765,1.07708,222
15000,0.0272789,0.505534,989,1923,0.278351,1.07101,237
17500,0.0253277,0.504417,991,1931,0.344518,1.07809,245
20000,0.0258721,0.502649,993,1934,0.349713,1.08136,248
22500,0.0262052,0.501885,995,1938,0.373019,1.08232,252
25000,0.0236867,0.500498,1000,1951,0.386843,1.08471,265
27500,0.022918,0.500915,1001,1955,0.0359025,1.06327,269
30000,0.0226004,0.50138,1006,1965,0.117322,1.05819,279
32500,0.0249025,0.498912,1014,1976,0.785403,1.08813,290
35000,0.0231368,0.500302,1016,1983,0.545739,1.08039,297
37500,0.0232036,0.500283,1017,1985,0.615802,1.07259,299
40000,0.0221321,0.499282,1017,1988,0.619995,1.079,302
42500,0.0222586,0.499192,1019,1992,0.644752,1.07741,306
45000,0.0224231,0.498659,1022,1997,0.669295,1.06902,311
47500,0.0239962,0.498912,1025,2000,0.606586,1.06974,314
50000,0.0234818,0.498574,1025,2001,0.673178,1.0692,315
52500,0.0235572,0.49862,1029,2008,0.792035,1.07694,322
55000,0.0231592,0.499573,1029,2009,0.783531,1.076,323
57500,0.0242151,0.502154,1031,2011,0.729324,1.07665,325
60000,0.0238122,0.502233,1032,2014,0.66611,1.06616,328
62500,0.0238122,0.502525,1032,2014,0.622706,1.06522,328
65000,0.025765,0.502767,1036,2018,0.639031,1.06855,332
67500,0.0260422,0.502175,1039,2023,0.573075,1.07838,337
70000,0.0248855,0.501668,1039,2025,0.74911,1.07088,339
72500,0.0244241,0.50212,1039,2026,0.694143,1.07668,340
75000,0.0239171,0.504019,1039,2027,0.553448,1.07747,341
77500,0.0237503,0.503753,1040,2030,0.510069,1.07466,344
80000,0.0225615,0.503815,1041,2034,0.548568,1.07905,348
82500,0.0227263,0.50347,1043,2038,0.598722,1.0726,352
85000,0.0229645,0.503073,1044,2040,0.556216,1.07187,354
87500,0.0221048,0.502322,1046,2045,0.58396,1.07915,359
90000,0.0219067,0.502343,1048,2049,0.683396,1.07488,363
92500,0.0223225,0.501955,1049,2050,0.675212,1.07232,364
95000,0.0223225,0.501675,1049,2050,0.619139,1.07365,364
97500,0.0228072,0.500918,1050,2051,0.486742,1.07729,365
100000,0.0228072,0.500775,1050,2051,0.454962,1.0797,365
