step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.529909,0.220884,405,1687,0.306695,2.50512,0
2500,-0.526819,0.18149,443,1848,0.840573,1.09257,161
5000,-0.524005,0.181669,456,1885,0.809505,1.09931,198
7500,-0.523881,0.180495,458,1895,0.719049,1.18553,208
10000,-0.524523,0.17998,460,1906,0.740126,1.13687,219
12500,-0.521636,0.17981,466,1919,0.656966,1.08682,232
15000,-0.520726,0.179025,467,1920,0.576785,1.0854,233
17500,-0.520276,0.179549,468,1923,0.619382,1.09071,236
20000,-0.520209,0.178853,469,1928,0.596424,1.08587,241
22500,-0.519012,0.177739,471,1932,0.536897,1.087,245
25000,-0.519841,0.178082,471,1935,0.53751,1.10535,248
27500,-0.519431,0.178624,472,1939,0.640558,1.13364,252
30000,-0.519335,0.179214,473,1942,0.58647,1.11471,255
32500,-0.518576,0.179963,475,1946,0.548151,1.08886,259
35000,-0.51801,0.17957,476,1948,0.627746,1.16794,261
37500,-0.518118,0.180076,476,1949,0.67357,1.19293,262
40000,-0.519115,0.181493,477,1956,0.645152,1.16738,269
42500,-0.520115,0.183403,478,1962,0.591092,1.19787,275
45000,-0.521759,0.182544,479,1971,0.563894,1.13951,284
47500,-0.521153,0.182326,480,1974,0.512223,1.11046,287
50000,-0.520846,0.183376,481,1977,0.522045,1.10713,290
52500,-0.520189,0.1819,484,1987,0.490245,1.17544,300
55000,-0.520757,0.182256,484,1991,0.554171,1.1954,304
57500,-0.519484,0.18129,487,2001,0.543587,1.12089,314
60000,-0.520322,0.180079,488,2009,0.477357,1.21954,322
62500,-0.52211,0.180013,490,2020,0.582393,1.13155,333
65000,-0.523067,0.179458,490,2025,0.565754,1.11599,338
67500,-0.523464,0.179183,491,2031,0.628409,1.15414,344
70000,-0.522178,0.180414,495,2039,0.727752,1.18177,352
72500,-0.521701,0.179123,497,2045,0.720527,1.15401,358
75000,-0.521404,0.177544,499,2050,0.711754,1.21292,363
77500,-0.521942,0.178637,499,2053,0.732565,1.19835,366
80000,-0.522399,0.178647,499,2056,0.769492,1.1494,369
82500,-0.521707,0.178394,500,2057,0.715731,1.12717,370
85000,-0.519897,0.179446,504,2066,0.757999,1.12514,379
87500,-0.520207,0.177456,505,2071,0.588009,1.27807,384
90000,-0.518868,0.17631,507,2073,0.8413,1.14026,386
92500,-0.5188,0.175794,509,2078,0.793133,1.13266,391
95000,-0.519374,0.17508,509,2081,0.785895,1.10506,394
97500,-0.519315,0.175133,510,2086,0.776751,1.11305,399
100000,-0.518957,0.176809,511,2089,0.753288,1.14079,402
