step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.561926,0.206827,383,1686,0.182048,2.44237,0
2500,-0.55463,0.181333,418,1829,0.83151,1.08936,143
5000,-0.557295,0.179309,426,1879,0.824602,1.08127,193
7500,-0.557786,0.178121,428,1891,0.850123,1.08256,205
10000,-0.556791,0.177974,431,1900,0.829459,1.07485,214
12500,-0.553016,0.175862,439,1915,0.773461,1.10621,229
15000,-0.553656,0.175327,442,1928,0.785807,1.13626,242
17500,-0.553801,0.176152,445,1944,0.732613,1.0873,258
20000,-0.553863,0.174545,446,1949,0.833027,1.08284,263
22500,-0.553018,0.175435,448,1953,0.833643,1.07817,267
25000,-0.551493,0.175708,450,1956,0.81277,1.07234,270
27500,-0.551805,0.176028,450,1958,0.794036,1.07196,272
30000,-0.551805,0.176163,450,1958,0.813635,1.06807,272
32500,-0.551484,0.176276,451,1962,0.799801,1.07105,276
35000,-0.551819,0.176026,452,1971,0.796947,1.07071,285
37500,-0.550796,0.177356,454,1977,0.833031,1.06773,291
40000,-0.548875,0.17801,457,1981,0.835704,1.06778,295
42500,-0.547637,0.178044,459,1984,0.833858,1.06627,298
45000,-0.547122,0.178431,460,1986,0.819789,1.06464,300
47500,-0.546645,0.178206,461,1989,0.789649,1.06712,303
50000,-0.546753,0.176647,461,1991,0.832542,1.06906,305
52500,-0.547563,0.175827,461,1995,0.828283,1.06719,309
55000,-0.547819,0.175239,461,1996,0.745709,1.06801,310
57500,-0.547755,0.176271,462,1999,0.745433,1.06864,313
60000,-0.547409,0.176536,463,2001,0.674448,1.06306,315
62500,-0.547706,0.176905,463,2003,0.656169,1.06106,317
65000,-0.547908,0.17754,463,2004,0.69141,1.06119,318
67500,-0.548653,0.177656,463,2006,0.672516,1.05967,320
70000,-0.549129,0.177181,463,2009,0.666173,1.06454,323
72500,-0.549129,0.177016,463,2009,0.701832,1.06591,323
75000,-0.548088,0.177203,465,2014,0.676428,1.05857,328
77500,-0.548155,0.176876,466,2019,0.647136,1.06265,333
80000,-0.548055,0.176962,467,2022,0.675219,1.07017,336
82500,-0.548253,0.177352,467,2023,0.704776,1.07037,337
85000,-0.548451,0.176854,467,2024,0.732371,1.06553,338
87500,-0.548753,0.17631,467,2026,0.738816,1.06451,340
90000,-0.548773,0.176004,467,2027,0.733748,1.06423,341
92500,-0.54806,0.17537,468,2028,0.774286,1.05972,342
95000,-0.548181,0.176382,468,2029,0.780566,1.06048,343
97500,-0.548639,0.176594,468,2032,0.80316,1.0663,346
100000,-0.548639,0.176887,468,2032,0.799778,1.06297,346
