step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0160017,0.514905,930,1827,0.860367,1.09154,141
5000,0.0216018,0.515275,955,1866,0.336123,1.06603,180
7500,0.0197619,0.516341,966,1890,0.857391,1.08959,204
10000,0.0176126,0.517537,973,1907,0.864905,1.07411,221
12500,0.016427,0.517695,976,1915,0.849793,1.06445,229
15000,0.0188037,0.518739,985,1928,0.863258,1.07435,242
17500,0.01966,0.517073,990,1936,0.750815,1.074,250
20000,0.0186587,0.514535,994,1946,0.741373,1.07449,260
22500,0.0160859,0.514272,996,1954,0.768427,1.07381,268
25000,0.0155887,0.514504,996,1955,0.870408,1.21883,269
27500,0.0149176,0.515837,999,1962,0.864946,1.19255,276
30000,0.0156217,0.516507,1002,1967,0.768342,1.07164,281
32500,0.0128134,0.516516,1005,1978,0.743018,1.0758,292
35000,0.0137408,0.516644,1007,1980,0.717237,1.07214,294
37500,0.0131594,0.515621,1008,1983,0.718115,1.07304,297
40000,0.0121098,0.515771,1008,1985,0.809815,1.08099,299
42500,0.011529,0.514405,1008,1986,0.82524,1.08207,300
45000,0.0110482,0.513137,1009,1989,0.77387,1.08159,303
47500,0.013164,0.513491,1015,1996,0.763377,1.08143,310
50000,0.013504,0.513954,1017,1999,0.812441,1.08011,313
52500,0.0126464,0.513108,1017,2001,0.763559,1.08539,315
55000,0.0148676,0.512395,1023,2008,0.745956,1.07573,322
57500,0.0154009,0.512441,1026,2013,0.749807,1.08008,327
60000,0.0153734,0.510613,1027,2015,0.763637,1.08627,329
62500,0.013999,0.511961,1028,2020,0.812482,1.08634,334
65000,0.0139259,0.514181,1029,2022,0.82293,1.08837,336
67500,0.0145557,0.514488,1031,2025,0.811242,1.08124,339
70000,0.014978,0.513919,1032,2026,0.839584,1.07875,340
72500,0.0154749,0.512623,1033,2027,0.83406,1.08464,341
75000,0.0148356,0.512296,1033,2028,0.830256,1.08164,342
77500,0.0140847,0.512165,1034,2031,0.861551,1.078,345
80000,0.0140847,0.511807,1034,2031,0.866981,1.09676,345
82500,0.0146408,0.510759,1036,2034,0.847033,1.09924,348
85000,0.0157062,0.513104,1038,2036,0.784943,1.09004,350
87500,0.014978,0.5118,1039,2039,0.765559,1.09301,353
90000,0.015295,0.51173,1040,2040,0.810915,1.09376,354
92500,0.0147438,0.510012,1040,2041,0.757071,1.09408,355
95000,0.0147438,0.509431,1040,2041,0.74052,1.08962,355
97500,0.0152885,0.509404,1041,2042,0.703025,1.08946,356
100000,0.0147091,0.509875,1041,2043,0.720194,1.0855,357
