sigma,n_seeds,DP_0,DP_end,DP/DPmax_end,S_area_end,recon_end,t_end
0.1,3,-0.003696,-0.001831,-0.003258,0.02962,338.3,100
0.2,3,-0.003696,-0.004654,-0.008283,0.06025,344.3,100
0.5,3,-0.003696,0.007028,0.01251,0.1273,335.7,100
